AID,BIO_SEX,IMONTH,IDAY,IYEAR,H1GI1M,H1GI1Y,H1GI4,H1GI6A,H1GI6B,H1GI6C,H1GI6D,H1GI6E,H1GI8,H1GI9,H1NM4,H1NF4,H1RM1,H1RF1
90570398,2,5,30,95,1,78,0,1,0,0,0,0,7,1,97,2,2,4
90570412,1,7,17,95,4,78,1,0,0,0,0,1,7,5,97,97,1,1
90570531,1,9,3,95,7,78,0,1,0,0,0,0,7,1,97,98,4,5
90570536,2,5,22,95,9,78,0,0,1,0,0,0,7,2,97,4,4,97
90570582,1,8,7,95,12,77,0,0,1,0,0,0,7,2,97,9,9,97
90570626,1,5,15,95,10,76,0,0,1,1,0,0,2,2,97,12,11,11
90570628,2,6,14,95,7,81,0,0,1,0,0,0,7,2,97,98,1,97
90570655,2,5,20,95,1,78,0,0,1,0,0,1,5,2,97,2,7,97
90570697,2,7,13,95,12,77,0,1,0,0,0,0,7,1,97,9,9,97
90570720,2,7,31,95,1,80,0,1,0,0,0,0,7,1,97,7,8,97
90570725,2,7,21,95,3,77,0,1,0,0,0,0,7,1,97,97,9,6
90570778,2,7,29,95,7,79,1,0,0,0,0,1,7,5,97,97,2,5
90570820,1,6,29,95,10,78,0,1,0,0,0,0,7,1,97,97,2,2
90570892,2,7,17,95,9,78,0,1,0,0,0,0,7,1,97,4,7,97
90570992,2,5,1,95,11,78,0,1,0,0,0,0,7,1,97,97,4,2
90571004,1,7,20,95,8,80,0,1,0,0,0,0,7,1,97,97,4,4
90571006,2,6,17,95,4,79,0,1,0,0,0,0,7,1,97,1,4,97
90571069,2,5,21,95,7,80,0,1,0,1,0,0,1,1,7,97,97,4
90571074,1,5,18,95,2,78,1,0,0,0,0,1,7,5,97,97,10,2
90571103,1,8,9,95,7,80,0,1,0,0,0,0,7,1,97,97,4,4
90571107,2,5,11,95,7,81,0,1,0,0,0,0,7,1,97,97,9,9
90571171,2,6,15,95,10,78,0,0,1,0,0,0,7,2,97,12,2,97
90571203,1,5,5,95,11,76,0,1,0,0,0,0,7,1,97,97,5,4
90571208,1,7,20,95,4,80,0,1,0,0,0,0,7,1,97,4,4,97
90571210,1,5,16,95,1,82,0,1,0,0,0,0,7,1,97,97,6,6
90571211,1,5,24,95,10,79,0,1,0,0,0,0,7,1,97,97,6,6
90571214,2,8,8,95,2,78,0,1,0,0,0,0,7,1,97,97,4,1
90571217,2,5,24,95,4,81,0,1,0,0,0,0,7,1,97,97,6,9
90571276,2,8,9,95,1,77,0,1,0,0,0,0,7,1,97,4,2,97
90571315,1,6,20,95,4,80,0,1,0,0,0,0,7,1,97,97,8,9
90571319,1,6,2,95,9,77,0,1,0,0,0,0,7,1,97,9,4,97
90571401,2,6,28,95,12,81,0,1,0,0,0,0,7,1,97,97,6,4
90571402,2,8,21,95,9,76,0,1,0,0,0,0,7,1,97,97,4,4
90571408,1,8,10,95,2,77,0,0,1,0,0,0,7,2,97,97,6,7
